Column1,Nama,Kategori,Jumlah Porsi,Takaran Porsi,Kalori (kal),Lemak (g),Lemak Jenuh (g),Lemak Tak Jenuh Ganda (g),Lemak Tak Jenuh Tunggal (g),Kolestrol (g),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (g),Kalium (g)
58,"Nanas (Padat dan Cair, Jus Kemasan, Kalengan)",Buah Buahan,1,"mangkok, lumatan, irisan, atau potongan",149,0.2,0.015,0.072,0.025,0,1.05,39.09,2,35.98,2,304
59,Pepaya,Buah Buahan,100,gram (g),39,0.14,0.043,0.031,0.038,0,0.61,9.81,1.8,5.9,3,257
60,Jus Pepaya,Buah Buahan,100,ml,60,0.16,0.049,0.037,0.043,0,0.18,15.16,0.6,14.53,5,32
61,Pisang,Buah Buahan,100,gram (g),89,0.33,0.112,0.073,0.032,0,1.09,22.84,2.6,12.23,1,358
62,Pisang Apel,Buah Buahan,1,buah,65,0.24,0.082,0.053,0.023,0,0.8,16.67,1.9,8.93,1,261
63,Rasberi Merah,Buah Buahan,100,gram (g),52,0.65,0.019,0.375,0.064,0,1.2,11.94,6.5,4.42,1,151
64,Rasberi Beku tanpa Pemanis,Buah Buahan,100,gram (g),52,0.65,0.019,0.375,0.064,0,1.2,11.94,6.5,4.42,1,136
65,Rasberi Beku,Buah Buahan,100,gram (g),103,0.16,0.005,0.089,0.015,0,0.7,26.16,4.4,21.76,1,114
66,Salad Buah,Buah Buahan,1,porsi (95 g),54,0.81,0.614,0.042,0.051,0,0.63,12.5,1.7,10.23,5,134
67,Semangka,Buah Buahan,100,gram (g),30,0.15,0.016,0.05,0.037,0,0.61,7.55,0.4,6.2,1,112
68,Stroberi Beku tanpa Pemanis,Buah Buahan,100,gram (g),35,0.11,0.006,0.054,0.015,0,0.43,9.13,2.1,4.56,2,148
69,Stroberi Beku,Buah Buahan,100,gram (g),87,0.14,0.007,0.066,0.019,0,0.52,23.46,1.9,21.49,2,98
70,Stroberi Beku dengan Gula,Buah Buahan,1,mangkok,222,0.36,0.018,0.168,0.048,0,1.33,59.82,4.8,54.8,5,250
71,Stroberi dalam Sirup (Dimasak atau Kalengan),Buah Buahan,100,gram (g),92,0.26,0.014,0.129,0.036,0,0.56,23.53,1.7,21.83,4,86
72,Ayam,Daging,100,gram (g),237,13.49,3.758,2.945,5.296,87,27.07,0,0,0,404,221
73,Ayam (Kulit tidak Dimakan),Daging,100,gram (g),188,7.35,2.023,1.676,2.638,88,28.69,0,0,0,408,241
74,Dada Ayam,Daging,100,gram (g),195,7.72,2.172,1.646,3.005,83,29.55,0,0,0,393,243
75,Paha Ayam,Daging,1,"kecil (hasil setelah masak, tulang dihilangkan)",135,8.45,2.362,1.865,3.354,51,13.67,0,0,0,223,121
76,Sayap Ayam,Daging,1,"kecil (hasil setelah masak, tulang dihilangkan)",81,5.4,1.513,1.15,2.121,23,7.46,0,0,0,113,51
77,Dada Ayam Goreng tanpa Pelapis (Kulit Dimakan),Daging,100,gram (g),216,9.1,2.414,2.091,3.583,92,31.67,0,0,0,430,267
78,Sayap Ayam Goreng tanpa Pelapis (Kulit Dimakan),Daging,1,"kecil (hasil setelah masak, tulang dihilangkan)",89,6.33,1.651,1.468,2.504,31,7.56,0,0,0,120,52
79,Paha Ayam Goreng tanpa Pelapis (Kulit Dimakan),Daging,1,"sedang (hasil setelah masak, tulang dihilangkan)",119,6.79,1.676,1.717,2.67,56,13.6,0,0,0,211,116
80,Daging Ayam (Panggang),Daging,100,gram (g),111,2.7,0.67,0.67,0.83,65,20.33,0,0,0,75,238
81,Daging dan Kulit Ayam (Panggang),Daging,100,gram (g),216,15.85,4.53,3.4,6.64,73,17.14,0,0,0,68,196
82,Daging Babi Panggang,Daging,100,gram (g),247,14.59,5.348,1.205,6.483,82,26.98,0,0,0,221,406
83,Babi Panggang (Hanya Daging yang Dimakan),Daging,100,gram (g),208,9.57,3.489,0.755,4.294,81,28.45,0,0,0,289,423
84,Bahu Daging Babi Panggang,Daging,1,"irisan tipis (berdiameter sekitar 7,5 cm x 0,3 cm)",41,2.98,1.096,0.286,1.32,13,3.25,0,0,0,32,46
85,Bakso Daging Sapi,Daging,1,sedang,57,3.69,1.394,0.205,0.163,1.57,3.47,2.12,21,0.1,0.42,134
86,Bakso Daging Sapi dan Babi,Daging,1,kecil,25,1.43,0.53,0.065,0.085,0.607,1.9,1,10,0.1,0.2,63
87,Bakso Ayam,Daging,1,sedang,45,1.57,0.45,0.354,0.551,23,5.43,1.94,0.1,0.41,124,56
88,Bakso Kalkun,Daging,1,sedang,42,1.16,0.383,0.31,0.277,21,5.5,1.94,0.1,0.41,121,65
89,Bakso Daging Babi,Daging,1,sedang,47,1.95,0.566,0.355,0.853,23,5.55,1.33,0.1,0.14,223,80
90,Daging Bebek,Daging,100,gram (g),132,5.95,2.32,0.75,1.54,77,18.28,0,0,0,74,271
91,Dada Ayam (Kulit tidak Dimakan),Daging,100,gram (g),164,3.54,1.002,0.764,1.23,84,30.76,0,0,0,396,254
92,Dada Ayam Masak,Daging,100,gram (g),110,1.24,0.33,0.02,0.28,0.3,23.09,0,58,0,0,65
93,Daging Dada Kalkun,Daging,100,gram (g),104,1.66,0.48,0,0.274,0.54,17.07,4.21,43,0.5,3.51,1015
94,"Daging Dada Kalkun (Digoreng, Dimasak, Dipanggang)",Daging,100,gram (g),135,0.74,0.24,0.2,0.13,83,30.06,0,0,0,52,292
95,Daging Babi,Daging,100,gram (g),271,17.04,6.168,1.438,7.576,90,27.34,0,0,0,384,351
96,Potongan Daging Babi,Daging,100,gram (g),250,14.57,5.402,1.413,6.381,83,27.91,0,0,0,386,404
97,Potongan Daging Domba,Daging,1,"kecil (112 g, dengan tulang, mentah) (hasil setelah masak, tulang dihhilangkan)",226,17.55,7.669,1.302,7.186,68,15.86,0,0,0,281,184
98,Potongan Daging Domba (Hanya Daging yang Dimakan),Daging,100,gram (g),215,10.48,3.857,0.796,4.382,93,28.17,0,0,0,403,327
99,Daging Sapi,Daging,100,gram (g),288,19.54,7.731,0.708,8.353,87,26.33,0,0,0,384,315
100,Daging Sapi Giling,Daging,100,gram (g),276,18.58,7.192,0.516,8.557,88,25.35,0,0,0,400,287
101,Daging Sapi Giling tanpa Lemak,Daging,100,gram (g),269,17.67,6.71,0.513,7.833,90,25.54,0,0,0,397,302
102,Daging Sapi Panggang,Daging,100,gram (g),267,17.32,6.813,0.627,7.355,76,25.91,0,0,0,217,292
103,Daging Kornet,Daging,1,"irisan tipis (sekitar 11 cm x 6,5 cm x 0,3 cm)",53,3.99,1.331,0.141,1.936,21,3.82,0.1,0,0,238,30
104,Daging Sapi Ekstra tanpa Lemak,Daging,100,gram (g),248,15.35,5.843,0.48,6.615,89,25.71,0,0,0,394,315
105,Daging Sapi (95% tanpa Lemak / 5% Lemak),Daging,100,gram (g),137,5,2.25,0.341,0.257,2.151,21.41,0,62,0,0,66
106,Daging Sapi (85% tanpa Lemak / 15% Lemak),Daging,100,gram (g),215,15,5.865,0.935,0.433,6.555,18.59,0,68,0,0,66
107,Daging Sapi (70% tidak Berlemak / 30% Lemak),Daging,100,gram (g),332,30,11.289,1.826,0.696,13.161,14.35,0,78,0,0,67
108,Daging Sapi Panggang (Hanya Bagian tanpa Lemak yang Dimakan),Daging,100,gram (g),198,8.52,3.228,0.281,3.531,75,28.32,0,0,0,217,306
109,Daging Domba,Daging,100,gram (g),292,20.77,8.756,1.497,8.747,96,24.32,0,0,0,394,307
110,Domba Giling,Daging,100,gram (g),282,23.41,10.19,1.85,9.6,73,16.56,0,0,0,59,222
111,Daging Domba Panggang,Daging,100,gram (g),266,18.15,7.633,1.394,7.533,92,23.93,0,0,0,228,281
112,Potongan Daging Domba (Daging dan Lemak Dimakan),Daging,100,gram (g),314,24.37,10.652,1.809,9.98,95,22.03,0,0,0,390,255
113,Iga Babi Panggang dengan Saus,Daging,100,gram (g),310,22.33,8.068,2.182,9.926,87,21.44,4.2,0.4,1.29,334,287
114,Kalkun,Daging,100,gram (g),187,7.02,1.999,1.749,2.21,77,28.9,0,0,0,69,291
115,Paha Ayam (Kulit tidak Dimakan),Daging,100,gram (g),207,10.79,3.005,2.459,4.115,94,25.72,0,0,0,410,236
116,Daging Paha Ayam (Ayam Pedaging),Daging,100,gram (g),119,3.91,1,0.106,0.97,1.21,19.65,0,83,0,0,86
117,Paha Ayam Panggang,Daging,100,gram (g),245,15.36,4.294,3.392,6.099,92,24.85,0,0,0,406,220
118,Paha Ayam Panggang (Kulit Dimakan),Daging,1,"kecil (hasil setelah masak, tulang dihilangkan)",135,8.45,2.362,1.865,3.354,51,13.67,0,0,0,223,121
119,Punggung Sapi,Daging,100,gram (g),342,26.15,10.203,0.924,11.555,93,24.84,0,0,0,225,242
120,Daging Punggung Sapi (Hanya Bagian tanpa Lemak yang Dimakan),Daging,100,gram (g),230,11.53,4.133,0.349,5.311,93,29.63,0,0,0,232,284
121,Sayap Ayam (Kulit tidak Dimakan),Daging,100,gram (g),201,8.06,2.241,1.765,2.588,84,30.21,0,0,0,414,208
122,Sayap Ayam Panggang (Kulit Dimakan),Daging,1,"kecil (hasil setelah masak, tulang dihilangkan)",86,5.79,1.621,1.232,2.273,25,7.99,0,0,0,121,55
123,Daging dan Kulit Sayap Ayam (Ayam Pedaging),Daging,1,"sayap, tulang dihilangkan (hasil dari 450 g - ayam siap dimasak)",64,4.63,1.299,0.055,0.983,1.842,5.32,0,22,0,0,21
124,Sosis Daging Sapi,Daging,1,ikatan (panjang 2 cm x 10 cm),42,3.78,1.497,0.141,1.785,7,1.44,0.52,0,0.33,146,21
125,Sosis Ayam,Daging,1,ikatan (panjang 2 cm x 10 cm),49,2.83,0.726,0.083,0.755,1.021,5.05,0.43,22,0,0,205
126,Sosis Babi Segar,Daging,100,gram (g),304,26.53,8.801,0.211,3.712,11.894,15.09,0,72,0,0,636
127,Sosis Kalkun,Daging,100,gram (g),155,8.08,1.963,0.35,2.386,2.624,18.79,0.47,75,0,0,593
128,Sosis Italia,Daging,1,ikatan (panjang 13 cm ),234,18.57,6.484,2.23,8.126,39,13,2.9,0.1,0.58,821,207
129,Cumi Goreng,Ikan & Seafood,100,gram (g),125,2.17,0.569,0.715,0.372,217,15.13,9.9,0.5,0.66,335,234
130,Cumi Kukus atau Rebus,Ikan & Seafood,100,gram (g),91,1.37,0.355,0.52,0.106,231,15.45,3.05,0,0,367,244
131,Cumi-cumi,Ikan & Seafood,100,gram (g),92,1.38,0.358,0.524,0.107,233,15.58,3.08,0,0,44,246
132,Gurita,Ikan & Seafood,100,gram (g),82,1.04,0.227,0.239,0.162,48,14.91,2.2,0,0,230,350
133,Udang,Ikan & Seafood,100,gram (g),144,2.35,0.446,0.909,0.344,206,27.59,1.24,0,0,613,176
134,Lobster,Ikan & Seafood,1,"kecil (berat hidup 450 g) (hasil setelah dimasak, kulit dihilangkan)",114,0.68,0.125,0.106,0.187,84,23.99,1.5,0,0,826,412
135,Kepiting,Ikan & Seafood,100,gram (g),101,1.76,0.226,0.674,0.278,99,20.03,0,0,0,600,321
136,Remis,Ikan & Seafood,100,gram (g),86,2.24,0.425,0.606,0.507,28,11.9,3.69,0,0,286,320
137,Ikan,Ikan & Seafood,100,gram (g),84,0.92,0.195,0.364,0.16,58,17.76,0,0,0,81,351
138,Ikan Panggang,Ikan & Seafood,100,gram (g),126,3.44,0.68,1.141,1.288,73,21.94,0.33,0,0.08,356,341
139,Ikan Salmon Panggang,Ikan & Seafood,100,gram (g),171,7.56,1.312,2.627,2.736,62,23.97,0.49,0,0.11,467,395
140,Nila (Ikan),Ikan & Seafood,100,gram (g),96,1.7,0.571,0.387,0.486,50,20.08,0,0,0,52,302
141,Kakap (Ikan) (Spesies Campuran),Ikan & Seafood,100,gram (g),100,1.34,0.285,0.459,0.251,37,20.51,0,0,0,64,417
142,Ikan Kembung,Ikan & Seafood,100,gram (g),167,9.36,2.444,2.343,3.205,64,19.32,0,0,0,78,389
143,Ikan Kembung Atlantik,Ikan & Seafood,100,gram (g),205,13.89,3.257,3.35,5.456,70,18.6,0,0,0,90,314
144,Ikan Lele,Ikan & Seafood,1,porsi (85 g),204,12.35,2.759,3.122,5.51,59,14.93,7.26,0.4,0.72,338,277
145,Ikan Lele Panggang,Ikan & Seafood,100,gram (g),184,11.71,2.599,2.667,5.533,55,18.16,0.41,0,0.09,385,354
146,Ikan Salmon,Ikan & Seafood,100,gram (g),146,5.93,1.26,1.992,2.134,45,21.62,0,0,0,46,423
147,Salmon Merah Muda,Ikan & Seafood,100,gram (g),116,3.45,0.558,1.353,0.934,52,19.94,0,0,0,67,323
148,Ikan Sarden dalam Minyak (Kalengan),Ikan & Seafood,1,ikan sarden,25,1.37,0.183,0.618,0.464,17,2.95,0,0,0,61,48
149,Ikan Sarden Di dalam Air,Ikan & Seafood,100,gram (g),217,12.37,2.791,2.919,5.112,82,24.58,0,0,0,918,447
150,Sarden dengan Saus Tomat (Campuran),Ikan & Seafood,100,gram (g),186,10.46,2.686,2.112,4.821,61,20.86,0.74,0.1,0.43,414,341
151,"Ikan Teri (Kering Padat dalam Minyak, Kalengan)",Ikan & Seafood,5,ikan teri,42,1.94,0.441,0.512,0.754,17,5.78,0,0,0,734,109
152,Tuna dalam Air (Kalengan),Ikan & Seafood,100,gram (g),116,0.82,0.234,0.337,0.159,30,25.51,0,0,0,338,237
153,Tuna dalam Minyak (Kalengan),Ikan & Seafood,100,gram (g),198,8.21,1.534,2.885,2.949,18,29.13,0,0,0,354,207
154,Tuna Sirip Biru (Ikan),Ikan & Seafood,100,gram (g),144,4.9,1.257,1.433,1.6,38,23.33,0,0,0,39,252
155,Tuna Sirip Kuning (Ikan),Ikan & Seafood,100,gram (g),108,0.95,0.235,0.284,0.154,45,23.38,0,0,0,37,444
156,Ikan Tuna Panggang,Ikan & Seafood,100,gram (g),153,3.96,0.811,1.169,1.529,53,27.3,0.41,0,0.09,366,524
157,Kepiting Panggang,Ikan & Seafood,100,gram (g),136,6.24,1.073,1.98,2.426,94,18.91,0.11,0,0,539,304
158,Kepiting Kalengan,Ikan & Seafood,100,gram (g),99,1.23,0.252,0.44,0.218,89,20.52,0,0,0,333,374
159,Kerang,Ikan & Seafood,100,gram (g),217,10.96,2.216,3.36,4.415,54,18.14,10.49,0.5,0.82,487,337
160,Kerang (Spesies Campuran),Ikan & Seafood,100,gram (g),88,0.76,0.079,0.261,0.037,33,16.78,2.36,0,0,161,322
161,Kerang Panggang,Ikan & Seafood,100,gram (g),132,3.86,0.649,1.179,1.438,40,20.22,2.92,0,0,527,389
162,Kerang Kukus atau Rebus,Ikan & Seafood,100,gram (g),106,3.09,0.519,0.943,1.15,32,16.18,2.33,0,0,422,280
163,Lobster Kukus atau Rebus,Ikan & Seafood,1,"kecil (berat hidup 450 g) (hasil setelah dimasak, kulit dihilangkan)",114,0.68,0.125,0.106,0.187,84,23.99,1.5,0,0,826,412
164,Lobster Panggang,Ikan & Seafood,1,"kecil (berat hidup 450 g) (hasil setelah dimasak, kulit dihilangkan)",137,3.55,1.947,0.211,0.929,90,23.34,1.46,0,0,743,401
165,Udang (Karang) Rebus atau Kukus,Ikan & Seafood,100,gram (g),81,1.19,0.179,0.364,0.242,132,16.63,0,0,0,416,294
166,Dimasak Hidup-hidup,Ikan & Seafood,100,gram (g),133,4.24,0.867,1.222,1.621,56,22,0.41,0,0.09,417,427
167,Dipanggang Hidup-hidup,Ikan & Seafood,100,gram (g),133,4.24,0.867,1.222,1.621,56,22,0.41,0,0.09,417,427
168,Tiram,Ikan & Seafood,100,gram (g),68,2.46,0.772,0.968,0.314,53,7.05,3.91,0,0,211,156
169,Udang Panggang,Ikan & Seafood,100,gram (g),154,5.03,0.949,1.671,1.698,183,24.47,1.17,0,0,512,224
170,Udang Kukus atau Rebus,Ikan & Seafood,100,gram (g),138,2.26,0.428,0.873,0.33,198,26.5,1.19,0,0,589,169
171,Buncis,Kacang Kacangan,100,gram (g),31,0.12,0.026,0.059,0.005,0,1.82,7.13,3.4,1.4,6,209
172,Kacang Panjang Hijau,Kacang Kacangan,100,gram (g),31,0.12,0.026,0.059,0.005,0,1.82,7.13,3.4,1.4,6,209
173,Kacang Merah (Kalengan),Kacang Kacangan,100,gram (g),85,0.34,0.05,0.189,0.027,0,5.25,15.59,6.4,0.22,341,257
174,"Kacang Belang (Biji Matang, Kalengan)",Kacang Kacangan,100,gram (g),86,0.81,0.167,0.289,0.162,0,4.86,15.25,4.6,0.22,294,243
175,Kacang Belang (Biji Matang),Kacang Kacangan,100,gram (g),347,1.23,0.235,0.407,0.229,0,21.42,62.55,15.5,2.11,12,1393
176,"Kacang Merah (tanpa Garam, Dimasak, Direbus)",Kacang Kacangan,100,gram (g),127,0.5,0.072,0.275,0.039,0,8.67,22.8,6.4,0.32,1,405
177,Kacang Panggang Vegetarian,Kacang Kacangan,100,gram (g),94,0.37,0.088,0.133,0.083,0,4.75,21.14,4.1,9.04,337,217
178,Kacang Panggang Boston,Kacang Kacangan,100,gram (g),155,5.06,1.792,0.671,2.325,5,6.04,22.04,3.9,6.4,454,422
179,Tahu Goreng,Kacang Kacangan,1,buah,35,2.62,0.379,1.481,0.579,0,2.23,1.36,0.5,0.35,2,19
180,Keju Colby Jack,Susu,1,iris (28 g),109,8.85,5.569,0.263,2.556,26,6.84,0.46,0,0.14,162,29
181,Keju Amerika,Susu,1,iris (28 g),96,7.39,4.417,0.31,2.115,23,5.37,1.97,0,1.83,368,77
182,Keju Cheddar atau Colby Rendah Lemak,Susu,1,iris (28 g),49,1.98,1.231,0.063,0.59,6,6.9,0.54,0,0.15,174,19
183,Keju Provolone,Susu,1,iris (28 g),98,7.45,4.782,0.215,2.07,19,7.16,0.6,0,0.16,245,39
184,Keju Parmesan (Parut),Susu,1,sdm,22,1.43,0.865,0.059,0.419,4,1.92,0.2,0,0.04,76,6
185,Keju Parmesan Parut Kering,Susu,1,sdm,22,1.43,0.865,0.059,0.419,4,1.92,0.2,0,0.04,76,6
186,Keju Parmesan Keras,Susu,100,gram (g),392,25.83,16.41,0.569,7.515,68,35.75,3.22,0,0.8,1602,92
187,Keju Krim,Susu,1,sdm,51,5.06,3.185,0.183,1.427,16,1.09,0.39,0,0.03,43,17
188,Keju Krim Proses tanpa atau Bebas Lemak,Susu,1,sdm,15,0.21,0.14,0.009,0.052,1,2.25,0.9,0,0.06,85,25
189,Keju Krim (Rendah Lemak),Susu,1,sdm,35,2.64,1.663,0.095,0.745,8,1.59,1.05,0,0.03,44,25
190,Margarin,Susu,1,sdm,75,8.46,1.436,3.53,2.905,0,0.09,0,0,0,112,4
191,"Margarin (Minyak Nabati, 20% Lemak )",Susu,1,sdm,26,2.92,0.43,1.206,1.122,0,0,0.06,0,0,110,4
192,Mentega,Susu,1,sdm,102,11.52,7.294,0.432,2.985,31,0.12,0.01,0,0.01,2,3
193,Mentega (Asin),Susu,1,sdm,102,11.52,7.294,0.432,2.985,31,0.12,0.01,0,0.01,82,3
194,Mentega Dikocok (Asin),Susu,1,sdm,67,7.62,4.746,0.283,2.202,21,0.08,0.01,0,0.01,78,2
